,rep,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6
1,0,820,946,958,954,1000,1000,1000,1000,1000,1000,1000,1000
2,1,810,970,960,976,996,998,1000,1000,1000,1000,1000,1000
3,2,842,970,956,964,1000,1000,1000,1000,1000,1000,1000,1000
4,3,854,940,952,968,964,1000,1000,1000,1000,1000,1000,1000
5,4,826,964,952,982,982,1000,1000,1000,1000,1000,1000,1000
6,5,822,976,970,980,982,1000,1000,1000,1000,1000,1000,1000
7,6,882,940,956,982,966,1000,1000,1000,1000,1000,1000,1000
8,7,854,936,964,998,964,1000,1000,1000,1000,1000,1000,1000
9,8,844,960,966,990,1000,1000,1000,1000,1000,1000,1000,1000
10,9,830,966,966,978,990,1000,1000,1000,1000,1000,1000,1000
11,10,856,964,966,962,976,1000,1000,1000,1000,1000,1000,1000
12,11,824,954,992,962,1000,1000,1000,1000,1000,1000,1000,1000
13,12,830,964,968,986,1000,1000,1000,1000,1000,1000,1000,1000
14,13,816,964,976,976,990,1000,1000,1000,1000,1000,1000,1000
15,14,826,966,958,974,994,1000,1000,1000,1000,1000,1000,1000
16,15,844,962,968,1000,998,1000,1000,1000,1000,1000,1000,1000
17,16,812,966,972,972,986,1000,1000,1000,1000,1000,1000,1000
18,17,840,966,972,962,976,1000,1000,1000,1000,1000,1000,1000
19,18,852,952,974,970,1000,1000,1000,1000,1000,1000,1000,1000
20,19,842,966,958,964,998,1000,1000,1000,1000,1000,1000,1000
21,20,828,946,972,974,992,1000,1000,1000,1000,1000,1000,1000
22,21,820,968,958,972,978,1000,1000,1000,1000,1000,1000,1000
23,22,822,958,966,992,1000,1000,1000,1000,1000,1000,1000,1000
24,23,812,966,982,950,1000,1000,1000,1000,1000,1000,1000,1000
25,24,844,980,940,988,990,1000,1000,1000,1000,1000,1000,1000
26,25,864,958,974,974,988,1000,1000,1000,1000,1000,1000,1000
27,26,846,976,964,938,960,1000,1000,1000,1000,1000,1000,1000
28,27,836,964,988,992,960,1000,1000,1000,1000,1000,1000,1000
29,28,850,956,964,958,986,1000,1000,1000,1000,1000,1000,1000
30,29,820,954,974,962,1000,1000,1000,1000,1000,1000,1000,1000
31,30,856,964,960,976,1000,1000,1000,1000,1000,1000,1000,1000
32,31,850,970,958,996,998,1000,1000,1000,1000,1000,1000,1000
33,32,836,962,970,966,1000,998,1000,1000,1000,1000,1000,1000
34,33,844,960,946,982,1000,1000,1000,1000,1000,1000,1000,1000
35,34,838,970,960,972,984,1000,1000,1000,1000,1000,1000,1000
36,35,850,942,964,950,962,1000,1000,1000,1000,1000,1000,1000
37,36,838,966,966,960,994,1000,1000,1000,1000,1000,1000,1000
38,37,794,956,970,972,994,1000,1000,1000,1000,1000,1000,1000
39,38,832,966,956,964,994,998,1000,1000,1000,1000,1000,1000
40,39,818,962,970,968,1000,1000,1000,1000,1000,1000,1000,1000
41,40,826,962,966,978,1000,1000,1000,1000,1000,1000,1000,1000
42,41,850,968,964,986,1000,1000,1000,1000,1000,1000,1000,1000
43,42,844,970,980,960,992,1000,1000,1000,1000,1000,1000,1000
44,43,850,968,956,966,978,1000,1000,1000,1000,1000,1000,1000
45,44,826,960,952,968,960,1000,1000,1000,1000,1000,1000,1000
46,45,844,960,978,988,974,1000,1000,1000,1000,1000,1000,1000
47,46,820,956,978,990,986,1000,1000,1000,1000,1000,1000,1000
48,47,866,964,966,974,984,1000,1000,1000,1000,1000,1000,1000
49,48,824,960,974,970,966,1000,1000,1000,1000,1000,1000,1000
50,49,842,962,982,960,972,1000,1000,1000,1000,1000,1000,1000
