,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6
0,424,556,582,582,594,600,600,600,600,600,600,600
1,454,570,570,564,600,600,600,600,600,600,600,600
2,424,582,588,584,590,600,600,600,600,600,600,600
3,432,568,580,570,576,600,600,600,600,600,600,600
4,414,556,566,578,600,596,600,600,600,600,600,600
5,432,540,578,572,594,600,600,600,600,600,600,600
6,412,576,586,576,596,600,600,600,600,600,600,600
7,452,562,580,600,590,600,600,600,600,600,600,600
8,448,564,570,590,592,600,600,600,600,600,600,600
9,428,562,568,582,578,600,600,600,600,600,600,600
10,416,562,580,586,600,600,600,600,600,600,600,600
11,432,582,576,578,596,584,600,600,600,600,600,600
12,434,570,580,582,592,584,600,600,600,600,600,600
13,460,574,574,582,582,600,600,600,600,600,600,600
14,430,570,576,580,596,600,600,600,600,600,600,600
15,462,568,584,592,576,600,600,600,600,600,600,600
16,458,542,580,584,598,600,600,600,600,600,600,600
17,450,542,576,580,588,600,600,600,600,600,600,600
18,464,570,578,580,600,600,600,600,600,600,600,600
19,446,568,582,572,574,592,600,600,600,600,600,600
20,428,564,568,580,588,600,600,600,600,600,600,600
21,436,554,572,574,590,600,600,600,600,600,600,600
22,434,564,582,572,578,600,600,600,600,600,600,600
23,404,568,586,590,600,600,600,600,600,600,600,600
24,454,556,570,568,586,594,600,600,600,600,600,600
25,416,556,586,576,568,598,600,600,600,600,600,600
26,426,554,590,586,596,600,600,600,600,600,600,600
27,448,560,582,578,600,590,600,600,600,600,600,600
28,450,578,576,568,598,600,600,600,600,600,600,600
29,444,568,576,588,584,600,600,600,600,600,600,600
30,438,548,574,570,600,600,600,600,600,600,600,600
31,452,560,588,590,566,600,600,600,600,600,600,600
32,438,578,580,586,594,600,600,600,600,600,600,600
33,450,566,596,582,598,600,600,600,600,600,600,600
34,422,562,584,580,600,600,600,600,600,600,600,600
35,434,576,572,586,582,600,600,600,600,600,600,600
36,438,570,572,576,600,588,600,600,600,600,600,600
37,444,574,580,594,596,600,600,600,600,600,600,600
38,434,570,572,574,582,600,600,600,600,600,600,600
39,436,570,578,572,600,600,600,600,600,600,600,600
40,458,572,582,590,600,600,600,600,600,600,600,600
41,424,560,566,576,594,600,600,600,600,600,600,600
42,400,566,584,576,578,600,600,600,600,600,600,600
43,428,544,584,580,592,600,600,600,600,600,600,600
44,456,570,582,576,564,600,600,600,600,600,600,600
45,422,560,582,576,592,600,600,600,600,600,600,600
46,452,562,586,588,594,600,600,600,600,600,600,600
47,424,574,584,594,598,598,600,600,600,600,600,600
48,452,568,586,588,594,600,600,600,600,600,600,600
49,438,572,584,584,594,600,600,600,600,600,600,600
